eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/std,train/n_updates,train/loss,train/clip_range,train/approx_kl,train/learning_rate,train/explained_variance,train/entropy_loss,train/clip_fraction,train/value_loss,train/policy_gradient_loss
257.2,510.0557795406938,982000,,,,,,3.587782382965088,4790,4.563729763031006,0.2,0.1670219,0.0003,0.9203724637627602,-5.230096490681172,0.558544921875,61.569766791164874,0.042413174462853934
366.0,686.0344176216051,983000,,,,,,,,,,,,,,,,
,,983536,359.33,27,30571,407,639.58725285,,,,,,,,,,,
480.0,864.933632359947,984000,,,,,,3.6586318016052246,4800,10.575078964233398,0.2,0.28539923,0.0003,0.852831244468689,-5.262789112329483,0.613623046875,69.60562340170145,0.05115374472807162
317.8,637.2441790056953,985000,,,,,,,,,,,,,,,,
,,985584,368.41,27,30653,408,649.74849454,,,,,,,,,,,
313.8,583.6754113253126,986000,,,,,,3.673248052597046,4810,5.039222717285156,0.2,0.5350356,0.0003,0.8737558424472809,-5.278689548373222,0.520166015625,77.08075794279576,0.034388425046927296
441.2,783.2707926738469,987000,,,,,,,,,,,,,,,,
,,987632,374.07,27,30734,409,658.28655943,,,,,,,,,,,
292.8,575.7007057772586,988000,,,,,,3.7398924827575684,4820,17.926475524902344,0.2,0.20340803,0.0003,0.8394499719142914,-5.295071905851364,0.570947265625,100.87347216010093,0.05376055028027622
278.0,539.3103300241994,989000,,,,,,,,,,,,,,,,
,,989680,383.62,27,30806,410,673.3678190399999,,,,,,,,,,,
435.6,803.6729232902253,990000,,,,,,3.7488982677459717,4830,6.1705780029296875,0.2,0.2164442,0.0003,0.9005124270915985,-5.317635917663575,0.511376953125,50.289431241154674,0.02406586942379363
282.6,543.5780274065735,991000,,,,,,,,,,,,,,,,
,,991728,388.24,27,30885,411,677.94336633,,,,,,,,,,,
367.0,661.9015104519058,992000,,,,,,3.799654960632324,4840,2.4766156673431396,0.2,0.19064838,0.0003,0.9105772823095322,-5.331453311443329,0.566162109375,47.67443589419126,0.04683393329905812
386.6,692.2308525244327,993000,,,,,,,,,,,,,,,,
,,993776,387.02,27,30965,412,674.7149935699999,,,,,,,,,,,
273.8,529.3139255393522,994000,,,,,,3.7754645347595215,4850,9.160228729248047,0.2,0.24283765,0.0003,0.7731142789125443,-5.340448957681656,0.548046875,102.42404321879148,0.02191155878826976
377.0,690.8874578430477,995000,,,,,,,,,,,,,,,,
,,995824,400.39,27,31038,413,696.72806435,,,,,,,,,,,
334.2,603.1072064561595,996000,,,,,,3.879459857940674,4860,3.5108625888824463,0.2,0.15864176,0.0003,0.9080987423658371,-5.356443984806537,0.544384765625,38.805485155433416,0.05699430340318941
421.4,688.1416144990028,997000,,,,,,,,,,,,,,,,
