train/actor_loss,train/n_updates,train/ent_coef,time/total_timesteps,train/learning_rate,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,train/ent_coef_loss,time/time_elapsed,eval/mean_ep_length,eval/mean_reward
-48.57609176635742,33413,0.06431429088115692,33514,0.0003,16,408,103.54,102.12363595999999,2.3154852390289307,0.3817960023880005,2032,,
-50.08921813964844,33723,0.06540900468826294,33824,0.0003,16,412,103.86,102.47758894,1.5102183818817139,-0.15174470841884613,2046,,
-48.54376983642578,33899,0.0654115304350853,34000,0.0003,,,,,1.5259352922439575,0.15376411378383636,,261.6,306.83326113784494
-49.1522102355957,34142,0.0656488835811615,34243,0.0003,16,416,104.53,102.50621237,1.6149303913116455,0.1947736144065857,2083,,
-47.975276947021484,34577,0.0672277882695198,34678,0.0003,16,420,104.96,102.03518735999997,1.9168282747268677,-0.16194619238376617,2100,,
-48.5206184387207,34899,0.06725160777568817,35000,0.0003,,,,,1.6656854152679443,-0.1031205803155899,,277.8,280.790916304665
-50.81161117553711,35014,0.06748349219560623,35115,0.0003,16,424,105.89,102.69874640000002,2.1665303707122803,0.5206952691078186,2139,,
-49.243797302246094,35312,0.06791849434375763,35413,0.0003,16,428,104.31,101.39060423000002,1.9664349555969238,-0.13533061742782593,2152,,
-49.190826416015625,35691,0.06815505772829056,35792,0.0003,16,432,103.76,100.80667954,1.8612602949142456,0.3066287934780121,2168,,
-50.974754333496094,35899,0.06853754073381424,36000,0.0003,,,,,2.9011850357055664,-0.11747349798679352,,263.2,253.4939524836751
-51.22929382324219,36142,0.06831074506044388,36243,0.0003,16,436,103.93,100.95590863000001,2.182163715362549,0.27656933665275574,2206,,
-50.416595458984375,36471,0.06912941485643387,36572,0.0003,16,440,102.25,99.50394557000001,2.0719261169433594,-0.17979609966278076,2220,,
-52.376380920410156,36851,0.06929441541433334,36952,0.0003,16,444,102.19,99.25199452000001,1.9927595853805542,0.03147253394126892,2236,,
-51.400917053222656,36899,0.06920155137777328,37000,0.0003,,,,,3.3806562423706055,-0.20009061694145203,,290.2,310.8228200468766
-54.47002410888672,37365,0.06927718967199326,37466,0.0003,16,448,102.83,99.76846015999999,2.2472403049468994,-0.4927884638309479,2277,,
-54.08148193359375,37750,0.06791642308235168,37851,0.0003,16,452,102.07,99.30617971999999,2.830307960510254,-0.3841390609741211,2293,,
-56.17669677734375,37899,0.06762111932039261,38000,0.0003,,,,,1.655616044998169,-0.006428942084312439,,265.6,323.4600015058695
-52.824180603027344,38269,0.06792667508125305,38370,0.0003,16,456,102.33,98.86176058999997,2.0788304805755615,0.6286826133728027,2333,,
-51.50364685058594,38582,0.06822782009840012,38683,0.0003,16,460,101.05,97.88323510999997,4.7359771728515625,1.0503464937210083,2347,,
-56.01567840576172,38899,0.06936758011579514,39000,0.0003,,,,,2.8476955890655518,0.6172869801521301,,270.8,301.04847120600317
-54.48529052734375,39145,0.06931452453136444,39246,0.0003,16,464,102.88,99.02477961000001,2.5136358737945557,-0.33152809739112854,2389,,
-54.891639709472656,39590,0.07031087577342987,39691,0.0003,16,468,102.78,98.50185125,1.7800837755203247,-0.8591872453689575,2406,,
-55.609317779541016,39899,0.07071594893932343,40000,0.0003,,,,,2.637272596359253,-0.13754357397556305,,278.4,306.5096351517477
-58.248207092285156,40126,0.07027457654476166,40227,0.0003,16,472,104.19,100.39375773999997,1.8932526111602783,-0.11229851841926575,2447,,
-55.856040954589844,40620,0.07130294293165207,40721,0.0003,16,476,103.96,99.68720573,2.896676778793335,-0.21738754212856293,2466,,
-57.0546875,40899,0.07115413248538971,41000,0.0003,,,,,2.154480457305908,-0.7572013139724731,,238.8,334.89934699431507
-57.73289489746094,41138,0.07147035747766495,41239,0.0003,16,480,105.45,100.45055595,3.363447904586792,-0.0322512686252594,2505,,
-51.723968505859375,41585,0.07068642973899841,41686,0.0003,16,484,105.62,99.50247787,2.1713175773620605,0.30938804149627686,2523,,
-57.93452453613281,41899,0.07054876536130905,42000,0.0003,,,,,2.9045958518981934,0.035636045038700104,,265.4,327.1257912615089
-58.02933120727539,42021,0.07010495662689209,42122,0.0003,16,488,105.94,99.75616588999999,1.7628684043884277,-0.0377352312207222,2561,,
-58.91325378417969,42397,0.0706922709941864,42498,0.0003,16,492,106.33,100.09084040000002,2.224924087524414,-0.5047813057899475,2576,,
-55.87731170654297,42877,0.07159176468849182,42978,0.0003,16,496,106.46,99.96583530999999,2.346802234649658,-0.2464211881160736,2595,,
-56.315582275390625,42899,0.07176107913255692,43000,0.0003,,,,,1.9463841915130615,0.6711790561676025,,280.0,333.61476813069055
-58.87779235839844,43341,0.07270635664463043,43442,0.0003,16,500,106.91,99.87157980000002,2.608412027359009,-0.19465012848377228,2634,,
-60.418514251708984,43826,0.07191216200590134,43927,0.0003,16,504,107.81,100.12441165000001,2.1825804710388184,0.4163503050804138,2653,,
-55.303321838378906,43899,0.07185325771570206,44000,0.0003,,,,,1.8913333415985107,-0.30443376302719116,,256.8,314.64070041212653
-56.72149658203125,44318,0.07250508666038513,44419,0.0003,16,508,109.05,101.22815670999998,2.35032320022583,0.8894906044006348,2692,,
-57.0421142578125,44690,0.07297715544700623,44791,0.0003,16,512,109.67,102.06453865999998,1.8759599924087524,-0.40388357639312744,2707,,
-59.32618713378906,44899,0.07216152548789978,45000,0.0003,,,,,3.731842041015625,0.4257262945175171,,207.2,290.30389387557153
-61.6595458984375,45072,0.07306042313575745,45173,0.0003,16,516,109.3,102.41472471000002,2.314516544342041,0.08595836162567139,2741,,
-57.99170684814453,45534,0.0726836696267128,45635,0.0003,16,520,109.57,103.22053854000002,1.8812668323516846,-0.0026983022689819336,2759,,
-60.27052307128906,45899,0.07303797453641891,46000,0.0003,,,,,1.9727622270584106,-0.14263372123241425,,264.0,326.9117052208887
-60.94392776489258,46126,0.07329508662223816,46227,0.0003,16,524,111.12,104.57808819,2.4939019680023193,0.3869268596172333,2801,,
-58.40713882446289,46549,0.07295473664999008,46650,0.0003,16,528,112.37,105.65283213999999,1.8361220359802246,0.031592950224876404,2818,,
-58.08757400512695,46899,0.07218468189239502,47000,0.0003,,,,,2.0186550617218018,-0.42412328720092773,,282.6,316.5646142709305
-61.33073043823242,47144,0.07312244176864624,47245,0.0003,16,532,114.53,107.19291459,2.4154763221740723,0.4927355647087097,2861,,
-57.88861846923828,47633,0.07241187244653702,47734,0.0003,16,536,114.91,106.82381514,1.809570074081421,0.38322684168815613,2880,,
-61.992835998535156,47899,0.07231616973876953,48000,0.0003,,,,,2.163677215576172,0.5202452540397644,,286.8,308.73805107256374
-61.520790100097656,48150,0.07231762260198593,48251,0.0003,16,540,116.79,107.85094197000001,2.569091796875,-0.31987056136131287,2921,,
-61.29934310913086,48592,0.07218972593545914,48693,0.0003,16,544,117.41,108.50779258,1.939990520477295,0.10276421904563904,2938,,
-62.214839935302734,48899,0.07164035737514496,49000,0.0003,,,,,4.876794815063477,-0.46326473355293274,,282.8,284.4601305078795
-60.32048034667969,49144,0.07106464356184006,49245,0.0003,16,548,117.79,108.19049845,2.7351155281066895,0.3465292453765869,2980,,
-60.352474212646484,49636,0.07186371088027954,49737,0.0003,16,552,118.86,108.56379957000001,1.5181325674057007,0.3356401324272156,2999,,
-61.390480041503906,49899,0.071747325360775,50000,0.0003,,,,,2.602160930633545,-0.2732166647911072,,284.8,297.5365325299681
-59.04518127441406,50156,0.07143791764974594,50257,0.0003,16,556,118.87,109.32371681000001,1.822422981262207,-0.5062677264213562,3041,,
-61.75902557373047,50551,0.07086730003356934,50652,0.0003,16,560,119.69,109.91748749,2.174894332885742,-0.022307217121124268,3057,,
-59.68682098388672,50899,0.07102306932210922,51000,0.0003,,,,,2.133953332901001,-0.23145627975463867,,282.8,313.60022051461635
-63.154441833496094,51160,0.0711425319314003,51261,0.0003,16,564,120.15,110.40139027999997,2.5437655448913574,-0.08398972451686859,3100,,
-61.52183532714844,51655,0.07080570608377457,51756,0.0003,16,568,120.65,111.40613302999996,3.0249805450439453,0.22251084446907043,3119,,
-63.45445251464844,51899,0.07114385068416595,52000,0.0003,,,,,4.705693244934082,0.29240354895591736,,255.2,262.33869118033215
-61.99507141113281,52159,0.07017850130796432,52260,0.0003,16,572,120.33,110.70381689,2.35170316696167,-0.22568470239639282,3158,,
-62.74916076660156,52602,0.07019250839948654,52703,0.0003,16,576,119.82,109.92604967999998,3.1638970375061035,0.20192795991897583,3176,,
-62.89486312866211,52899,0.07126015424728394,53000,0.0003,,,,,2.6913259029388428,-0.21848037838935852,,287.4,304.7323227500441
-62.648826599121094,53132,0.07147422432899475,53233,0.0003,16,580,119.94,109.39869339,2.3195457458496094,0.2910318374633789,3217,,
-63.37886047363281,53644,0.07062040269374847,53745,0.0003,16,584,120.59,110.31919411000001,4.860421180725098,0.30140721797943115,3236,,
-58.94615936279297,53899,0.07094411551952362,54000,0.0003,,,,,1.645140528678894,0.18605640530586243,,291.6,330.83337897152853
-60.28227996826172,54114,0.0712180808186531,54215,0.0003,16,588,120.93,109.90016743999999,1.7004497051239014,0.12427231669425964,3277,,
