eval/mean_reward,time/total_timesteps,eval/mean_ep_length,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/value_loss,train/approx_kl,train/entropy_loss,train/learning_rate,train/loss,train/std
,198016,,-4.364167939999999,42,163.36,2958,29,,,,,,,,,,,
-1.821795561120234,199000,161.0,,,,,,960,0.7537680715322495,-0.04639047962555196,0.2,0.5123046875,0.8261779509019107,0.12933356,-2.7008160457015036,0.0003,0.0031632333993911743,0.9268778562545776
-2.8372006225232327,200000,161.0,,,,,,,,,,,,,,,,
,200064,,-4.3079908499999995,43,162.85,3026,29,,,,,,,,,,,
0.25080376366022394,201000,161.0,,,,,,970,0.6499066948890686,-0.05614036228507757,0.2,0.522998046875,0.8985157363582402,0.17969403,-2.6634289547801018,0.0003,-0.024088889360427856,0.8950352668762207
-0.3576134418915899,202000,161.0,,,,,,,,,,,,,,,,
,202112,,-4.804580819999999,44,162.37,3093,29,,,,,,,,,,,
-0.7711477619777725,203000,161.0,,,,,,980,0.7035031318664551,-0.048163875471800566,0.2,0.51923828125,0.7865301792044193,0.15650696,-2.6109359614551066,0.0003,-0.0015929043292999268,0.8813163042068481
-0.761344284027291,204000,161.0,,,,,,,,,,,,,,,,
,204160,,-4.65524484,45,161.9,3161,29,,,,,,,,,,,
-2.412513446705998,205000,161.0,,,,,,990,0.7459149956703186,-0.056392450706334786,0.2,0.543603515625,0.6538777509937063,0.19825771,-2.5659428633749486,0.0003,0.039068803191185,0.8554688692092896
1.1939483327936613,206000,161.2,,,,,,,,,,,,,,,,
,206208,,-4.14531879,46,163.36,3229,29,,,,,,,,,,,
-0.7276712146951467,207000,161.0,,,,,,1000,0.6947177052497864,-0.059184727558749727,0.2,0.560400390625,0.8668713999446481,0.23769122,-2.5053746782243254,0.0003,0.09229156374931335,0.828384280204773
-4.5735523268129326,208000,161.0,,,,,,,,,,,,,,,,
