time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/clip_fraction,train/n_updates,train/clip_range,train/entropy_loss,train/learning_rate,train/approx_kl,train/std,train/explained_variance,train/value_loss,train/policy_gradient_loss
151000,101.6092659704038,164.8,,,,,,,,,,,,,,,,
151552,,,74,29,5137,194.59694787000004,208.5,,,,,,,,,,,
152000,172.27829533473778,192.2,,,,,,12.520736694335938,0.500537109375,740,0.2,-2.6725323379039763,0.0003,0.10272947,0.9257386922836304,0.6927733719348907,63.24764293134213,0.005769824222079478
153000,198.90432587588148,198.8,,,,,,,,,,,,,,,,
153600,,,75,29,5207,206.67637432,211.21,,,,,,,,,,,
154000,216.48717574065375,166.8,,,,,,10.45348834991455,0.45947265625,750,0.2,-2.6747279867529867,0.0003,0.09277335,0.9213419556617737,0.7763799726963043,57.5374318242073,-0.0038053613156080247
155000,287.69219960815536,226.4,,,,,,,,,,,,,,,,
155648,,,76,29,5278,208.23409381000002,205.63,,,,,,,,,,,
156000,257.88679679769484,201.6,,,,,,2.302666664123535,0.561767578125,760,0.2,-2.6640782043337823,0.0003,0.16834019,0.916080117225647,0.8756797984242439,23.34906741604209,0.024074934994860086
157000,240.61780848015624,160.8,,,,,,,,,,,,,,,,
157696,,,77,29,5348,210.57722492999997,201.87,,,,,,,,,,,
158000,272.87805150881616,153.4,,,,,,6.4999589920043945,0.48173828125,770,0.2,-2.669221615791321,0.0003,0.1424272,0.9244944453239441,0.9107466489076614,33.081248465180394,-0.006687635515118018
159000,226.68471988020755,177.4,,,,,,,,,,,,,,,,
159744,,,78,29,5417,206.07038749999995,192.3,,,,,,,,,,,
160000,280.4719160999688,186.6,,,,,,3.373412847518921,0.446337890625,780,0.2,-2.6657144077122212,0.0003,0.19012225,0.9185378551483154,0.9541232362389565,21.509896283596753,-0.009859443886671215
161000,272.83978945256024,187.8,,,,,,,,,,,,,,,,
161792,,,79,29,5488,202.06083132999996,183.8,,,,,,,,,,,
162000,310.5297947415769,232.0,,,,,,2.718186855316162,0.463427734375,790,0.2,-2.658968000859022,0.0003,0.08958146,0.9162256717681885,0.9287441745400429,40.52259338200092,-0.012264020231668837
163000,346.0903779478431,219.0,,,,,,,,,,,,,,,,
163840,,,80,29,5561,198.69704077999998,179.4,,,,,,,,,,,
164000,354.39525145460505,202.2,,,,,,2.2805769443511963,0.535302734375,800,0.2,-2.6556336373090743,0.0003,0.13277732,0.9152623414993286,0.9494006186723709,27.29936790242791,0.02200442969915457
165000,361.9509843839107,189.8,,,,,,,,,,,,,,,,
165888,,,81,29,5631,205.00715791,176.04,,,,,,,,,,,
