train/n_updates,time/fps,train/actor_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,train/critic_loss,time/time_elapsed,train/learning_rate,train/ent_coef_loss,train/ent_coef,eval/mean_ep_length,eval/mean_reward
29299,15,-47.6799736,98.93652936000002,95.46,29400,476,0.6369587182998657,1946,0.0003,0.087160811,0.07697697,,
29760,15,-44.58919907,97.71952120000002,96.34,29861,480,0.6125031113624573,1965,0.0003,-0.081319332,0.077683963,,
29899,,-46.57753754,,,30000,,0.6670747995376587,,0.0003,-0.180083692,0.078006439,162.6,98.38860626
30220,15,-48.34225464,97.73278994,97.76,30321,484,0.6324275732040405,1999,0.0003,-0.948926568,0.07746698,,
30615,15,-46.50628281,96.92953446,99.13,30716,488,0.6604298949241638,2016,0.0003,0.095730379,0.078003243,,
30899,,-46.66602325,,,31000,,0.6278332471847534,,0.0003,-0.218497604,0.078668274,187,145.1567368195334
31127,15,-47.62989044,96.8895483,101.51,31228,492,0.5819396376609802,2052,0.0003,-0.334098876,0.078899935,,
31565,15,-46.15657806,96.25788589,101.96,31666,496,0.6856205463409424,2070,0.0003,-0.046855833,0.079777226,,
31879,15,-46.63848877,95.32354375000001,102.13,31980,500,0.6751394867897034,2085,0.0003,-0.392976195,0.079500958,,
31899,,-43.56003571,,,32000,,0.6657092571258545,,0.0003,-0.289617807,0.079591267,174.8,108.55580017733882
32278,15,-44.62556458,95.51559162000001,103.88,32379,504,0.6403530836105347,2117,0.0003,-0.080160871,0.080079861,,
32703,15,-46.70429993,96.64599847000001,104.4,32804,508,0.6585677862167358,2135,0.0003,-0.331623256,0.079093456,,
32899,,-45.28381348,,,33000,,0.6299640536308289,,0.0003,-0.132021457,0.07873977,208.2,152.5300934
33051,15,-47.16400146,98.30641977,103.98,33152,512,0.7349196672439575,2168,0.0003,-0.080829695,0.078918315,,
33346,15,-48.83465958,98.59538989,102.73,33447,516,0.6919230222702026,2182,0.0003,-0.503762066,0.079175346,,
33605,15,-47.05371094,100.5085813,103.49,33706,520,0.6626043319702148,2194,0.0003,-0.275688499,0.078357175,,
33899,,-47.4235611,,,34000,,0.6810097098350525,,0.0003,-0.085291758,0.077802882,221.4,217.36887382925198
34024,15,-43.6714859,101.4687184,103.22,34125,524,0.6740179061889648,2230,0.0003,0.3074858784675598,0.077837713,,
34399,15,-44.99151993,100.3871516,102.47,34500,528,0.718740702,2246,0.0003,0.2829543352127075,0.076611795,,
34738,15,-46.35996246,101.1127205,102.16,34839,532,0.6546300649642944,2261,0.0003,0.30998536944389343,0.076344535,,
34899,,-47.83218765,,,35000,,0.6284888982772827,,0.0003,-0.483441561,0.076816253,161,59.86649648544771
35238,15,-46.26635361,100.96281843999999,102.46,35339,536,0.6844602823257446,2296,0.0003,0.083595522,0.076085672,,
35706,15,-46.58494186,99.2794783,103.06,35807,540,0.7670376896858215,2315,0.0003,-0.140359998,0.075401597,,
35899,,-46.77405548,,,36000,,0.6718802452087402,,0.0003,-0.471967936,0.074597247,161,70.72993963998888
36034,15,-45.97582245,100.02176585000001,101.99,36135,544,0.6804678440093994,2345,0.0003,0.3541933298110962,0.074488752,,
36457,15,-47.59069061,100.1581948,101.95,36558,548,0.6999074220657349,2363,0.0003,-0.052129485,0.074013591,,
36884,15,-46.4056778,101.70278395999999,103.17,36985,552,0.7447574734687805,2381,0.0003,-0.136594534,0.07384903,,
36899,,-45.65761566,,,37000,,0.6760918498039246,,0.0003,-0.075746253,0.073775962,161,77.38493339461711
37331,15,-45.75670242,103.1650129,103.13,37432,556,0.7141302824020386,2414,0.0003,0.2751886248588562,0.074568622,,
37713,15,-44.59976196,104.3756185,102.25,37814,560,0.6352218389511108,2431,0.0003,-0.071841747,0.075215295,,
37899,,-46.24922562,,,38000,,0.7138814330101013,,0.0003,0.5874931216239929,0.075932831,166,77.48368775950075
38235,15,-44.64056396,106.37126785000001,102.42,38336,564,0.6872851252555847,2467,0.0003,0.5450658798217773,0.076199934,,
38594,15,-47.65977859,105.67344401000003,101.15,38695,568,0.664462149,2482,0.0003,0.564796507,0.07581982,,
38899,,-43.28973389,,,39000,,0.7019456028938293,,0.0003,0.1801450252532959,0.076590843,163.4,89.63477527736177
39066,15,-44.87935638,107.36715308000002,101.96,39167,572,0.7279725670814514,2517,0.0003,0.18544691801071167,0.076625183,,
39403,15,-45.66062164,106.43055854000002,101.04,39504,576,0.6864604949951172,2532,0.0003,0.39832043647766113,0.077741623,,
39695,15,-48.94360352,106.7405794,99.35,39796,580,0.6506362557411194,2545,0.0003,0.30943840742111206,0.078219928,,
39899,,-49.00421906,,,40000,,0.6391707062721252,,0.0003,-0.267150551,0.078464083,237.2,215.10768799540747
40182,15,-47.87086105,109.9774074,99.62,40283,584,0.7647402882575989,2584,0.0003,-0.484385312,0.078833029,,
40573,15,-46.43904114,111.75105316999999,99.58,40674,588,0.6925354599952698,2601,0.0003,0.13463886082172394,0.079607457,,
40899,,-46.96298981,,,41000,,0.763589621,,0.0003,-0.293738842,0.079497024,276.8,283.8876424492861
