time/episodes,train/ent_coef,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,train/critic_loss,train/ent_coef_loss,time/fps,train/n_updates,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
500,0.05795326828956604,0.0003,125.09,45123,1.6353119611740112,-0.1968666911125183,16,45022,-55.590545654296875,133.88742769999996,2766,,
504,0.05793868005275726,0.0003,124.9,45613,1.7746336460113525,-0.737774670124054,16,45512,-55.76596450805664,133.67664343,2785,,
,0.058644093573093414,0.0003,,46000,2.317868232727051,0.8445256948471069,,45899,-50.65614318847656,,,365.5466360699862,285.2
508,0.05873474106192589,0.0003,125.08,46123,1.451781153678894,-0.46664637327194214,16,46022,-53.614173889160156,133.76462357,2826,,
512,0.06016603857278824,0.0003,126.45,46614,1.4576479196548462,-0.06563723087310791,16,46513,-54.16899108886719,135.03048703000002,2845,,
,0.06098723039031029,0.0003,,47000,2.2167019844055176,1.3940625190734863,,46899,-52.30396270751953,,,327.1958186618634,269.6
516,0.062381546944379807,0.0003,126.25,47123,1.6613128185272217,0.15058547258377075,16,47022,-53.33385467529297,134.55112813,2885,,
520,0.06278160959482193,0.0003,126.59,47613,1.3095911741256714,-0.7687928676605225,16,47512,-54.50841522216797,134.59576617000002,2904,,
,0.06158709153532982,0.0003,,48000,1.6067681312561035,-0.6356719136238098,,47899,-54.2169189453125,,,300.7903905390998,272.0
524,0.06110850349068642,0.0003,126.92,48123,1.8638577461242676,-0.30096256732940674,16,48022,-52.811065673828125,134.39369331,2944,,
528,0.06051034852862358,0.0003,127.98,48719,2.6115193367004395,0.23701739311218262,16,48618,-50.85743713378906,135.10137641999998,2966,,
,0.061554476618766785,0.0003,,49000,2.696718215942383,-0.18736624717712402,,48899,-50.545326232910156,,,309.95552931581625,273.0
532,0.0617566853761673,0.0003,127.55,49246,1.8401507139205933,-0.19602012634277344,16,49145,-52.43799591064453,134.14048465999997,3007,,
536,0.06008866801857948,0.0003,127.84,49766,2.8650100231170654,-0.33472537994384766,16,49665,-52.82899856567383,134.46397419,3026,,
,0.06029729172587395,0.0003,,50000,1.837907314300537,0.37860921025276184,,49899,-52.777000427246094,,,295.77025211382136,267.2
540,0.06048915535211563,0.0003,126.36,50312,2.0492539405822754,-0.6241156458854675,16,50211,-54.10929870605469,133.07028386,3068,,
544,0.06204121187329292,0.0003,127.12,50928,3.766195058822632,0.34097686409950256,16,50827,-54.288047790527344,132.99314285999998,3090,,
,0.06248299777507782,0.0003,,51000,3.3404617309570312,-0.6152248382568359,,50899,-56.141632080078125,,,330.5353069587698,267.8
548,0.06318467855453491,0.0003,127.63,51495,2.3148322105407715,-0.49946123361587524,16,51394,-53.55023193359375,133.94481147,3132,,
552,0.0641157478094101,0.0003,126.17,51986,3.237159252166748,0.7077205181121826,16,51885,-49.884979248046875,131.81850346,3151,,
,0.06419011205434799,0.0003,,52000,1.9782307147979736,0.31796640157699585,,51899,-50.355648040771484,,,312.59432721676893,269.8
556,0.06455828994512558,0.0003,128.09,52565,1.9714467525482178,-0.1968778669834137,16,52464,-55.42921447753906,133.3881582,3193,,
,0.06567730009555817,0.0003,,53000,2.075209856033325,-0.3107796013355255,,52899,-51.48475646972656,,,340.44601358934744,270.8
560,0.06541793793439865,0.0003,129.32,53123,3.534231662750244,-0.4109630882740021,16,53022,-52.78913116455078,134.27896196999998,3234,,
564,0.06452149152755737,0.0003,128.7,53553,1.8850653171539307,0.05691854655742645,16,53452,-52.9294548034668,133.43746595000002,3252,,
,0.0661362037062645,0.0003,,54000,7.83344841003418,1.085947036743164,,53899,-50.50891876220703,,,363.34569512143173,287.8
568,0.06647524982690811,0.0003,129.52,54123,2.714512348175049,-0.07071293145418167,16,54022,-50.670555114746094,134.08420445000002,3294,,
572,0.0666930228471756,0.0003,131.72,54776,2.3094472885131836,-0.6481561064720154,16,54675,-52.3570556640625,135.50048037,3318,,
,0.06646279990673065,0.0003,,55000,2.2864785194396973,-0.27225327491760254,,54899,-52.8358154296875,,,319.05072590137206,276.0
576,0.06744112819433212,0.0003,132.46,55369,2.453166961669922,-0.07433442771434784,16,55268,-53.997398376464844,135.48086116999997,3360,,
580,0.06790001690387726,0.0003,132.98,55872,2.4169435501098633,-0.05694666504859924,16,55771,-51.34362030029297,135.65746724000002,3380,,
,0.06742634624242783,0.0003,,56000,2.2298455238342285,-0.3734065890312195,,55899,-55.68330001831055,,,389.0839911850391,333.2
